lfdn;country;copcvdis;ctpcvdis17
615;1;-66;Meinungsäußerungen in Form zivielen Ungehorsams können viel bewegen
616;1;-66;weil es die einzige Möglichkeit ist sich gehör zu verschaffen wenn über die köpfe der bevölkerung entschieden wird
617;1;-66;Ich fordere mehr Mitbestimmungsrecht als Bürger und wäre sehr damit einverstanden wenn es mehr Bürgerrechte geben würdfe.
618;1;das sie nicht den Recht und Ordnung nach gestz verfolgen;-66
619;1;-66;"Die Vergangenheit und die Gegenwart zeigen, dass sich Politiker eben nicht immer nach dem Willen und den Interessen des Volkes orientieren und dass sie, je weiter Sie sich in der Hierarchieebene nach oben bewegen, um so weiter von den Meinungen und Wünschen des Volkes entfernen. Ein Kontrollmechanismus für ""vom Weg abgekommene Politiker"" ist mir nicht bekannt. Dabei sollten sie schließlich nur eines sein: Sprachrohr und Vetreter des Volkes, nicht ihrer Parteien. Alle Macht dem Volke!"
620;1;"kann ich nicht sagen
";-66
621;1;"ehrlich gesagt, habe ich keine Ahnung, weshalb ich auch eine mittlere Kategorie angekreuzt habe..

spontan fällt mir ein: Straftat";-66
622;1;die Bürger müssen in allem mehr einbezogen werden;-66
623;1;gewaltfreie PRoteste um seien Unmut zu zeigen;-66
624;1;-66;Politik entfremdet oft die Menschen
625;1;-66;Weil zu viele Randalierer dieses Recht missbrauchen würden
626;1;"Meinungsäußerung über Protest
Persönölche Ansprache der entscheidenden Politiker";-66
627;1;-66;ziviler Ungehorsam hat auch seine Grenzen, wenn es um das Allgmeinwohl geht
629;1;-66;"Einerseits ist es für den Bürger wichtig sich - auch wirksam - artikulieren und ggf. zur Wehr setzen zu können, andererseits sind in vielen Fällen demokratisch getroffene Entscheidungen auch hinzunehmen, wenn sie von Mehrheiten getragen werden. Im Zweifel wird es fast immer Gegner von Entscheidungen geben. Eine Handlungsfähigkeit muss gegeben bleiben. Daher die Entscheidung in der ""Mitte""."
630;1;"Für mich bedeutet ""ziviler Ungehorsam"", dass ich nicht alle Lasten zu tragen habe, die mit eine Regierung aufzwingt.";-66
631;1;-66;na weil ich doch nicht alles machen muss was mir die poltik vorgibt
632;1;-66;finde ich wichtig, aber nicht sehr wichtig
633;1;"Streik
Demonstrationen";-66
634;1;"Bürger- und Menschenrechte auch gegen gültige Gesetze vertreten.
";-66
635;1;-66;ich halte dies für ein wichtiges Regulativ
636;1;"Regeln mißachten
Gebote ignorieren";-66
637;1;-66;Wer eine Machtposition für sich Beansprucht neigt dazu, allein durch seinen veränderten Tagesablauf, die eigentliche Grundaufgabe, dem Volk zu dienen, zu vergessen. Es ist wichtig das der Bürgen die Möglichkeit besitzt irrtümer und Fehlentscheidungen die sein Leben und seine Umgebung beeinflussen, jeder Zeit anzufechten und auf misstände hinweisen zu können. Das Wohl alle darf nicht nur in Entscheidung weniger liegen wenn sich die Meinung Vieler nicht damit vereinbaren lässt.
638;1;demos, streik;-66
639;1;-66;Ich wähle im Land und im Bund die Partei zu der ich vertrauen habe. Kommt es zu  einer anderen Partei in Land und Bund respektiere ich das. Ich bin froh, daß ich in Sachsen lebe, eil mein Wahlwunsch erfüllt wurde, auch im Bund.
640;1;Zivilier Ungehorsam ist der Widerstand von Bürgern gegen staatliche Interessen oder Projekte, ohne dabei zu aktiver Gewalt zu greifen. Beispiele: Gleisblockaden in Gorleben, Baumbesetzungen gegen Stuttgart 21, Sitzblockaden, Verweigerung von Volkszählungen, Streiks.;-66
641;1;-66;-66
642;1;demos;-66
643;1;-66;"Ein Widerstandrecht ist bereits im §20 des Grundgesetzes festgehalten. Was heute unter ""zivilem Ungehorsam"" verstanden wird, ist oft nichts anderes als der Wunsch, sich persönliche Vorteile zu verschaffen. Deshalb die eher niedrige Bewertung ""5""."
645;1;absichtlicher Verstoß gegen Gesetze um politische Meinung auszudrücken;-66
646;1;-66;k.a
647;1;-66;Das Recht der Freien Meinungsäusserung finde ich extrem wichtig und daher auch die Möglichkeit des Protestes gegen Regierungsentscheidungen (siehe Stuttgart 21)
648;1;-99;-66
649;1;-66;-
651;1;-66;Weil ich es für dringend nötig halte.
652;1;sitzblockade;-66
653;1;längere Demonstrationen;-66
654;1;Montagsdemonstrationen in der ehemaligen DDR;-66
655;1;-66;Es sollte eine Möglichkeit des zivilen Ungehorsams geben, aber es ist nicht absolut wichtig für das Funktionieren einer Demokratie. Ich möchte für mich die Chance auf Protest oder Widerstand nicht verlieren.
656;1;Ich schätze mal, dass es bedeuten soll, dass die Bürger bei Regierungsentscheidungen die Möglichkeit haben, dagegen zu demonstrieren und ihre Meinung klar auszudrücken, genauso, wie es erlaubt ist, Anti-Demonstrationen durchzuführen z.B. ;-66
657;1;-66;weiß net
658;1;-66;Damit sie sich nicht unterdrücken lassen (siehe 1989)
659;1;weiß ich nicht, noch nie gehört;-66
661;1;-66;-66
664;1;Demonstrationsrecht;-66
666;1;-66;sehr wichtig) war
667;1;Stuttgart 21;-66
668;1;-99;-66
669;1;Demonstrationen. Bürgerentscheide. Klagen gegen den Staat;-66
670;1;-66;Die Regierung wurde vom Bürger gewählt, man sollte differenzieren, was konkret ziviler Ungehorsam ist und ein Feld abstecken, wo es erlaubt sein soll und wo nicht.
672;1;Ausnutzung aller Rechte, die das Gesetz bietet um Entscheidungen zu erschweren, zu verhindern oder rückgängig zu machen;-66
674;1;-66;der Bürger muß sich auch irgentwie zur Wehr setzen können. Sobald unsere Politiker nämlich gewählt sind vergessen sie ihre Wahlversprechen
675;1;-66;Siehe stuttgart 21
676;1;Fehlentscheidungen oder nicht eingehaltene Wahlversprechen von Politikern sind gleichzusetzen mit einer Falschaussage oder Betrug im zivilen Leben jeden Bürgers und müssten auch so geahndet werden.;-66
677;1;sinnloser Krawall, übertriebene Hetze und dramatisierte Probleme in einem sehr gut funktionierenden System;-66
678;1;-66;"Weil die Regierung nicht immer wissen kann, was der ""kleine Mann"" von der Entscheidung hält. Wir leben nicht mehr im Mittelalter und müssen uns nicht alles gefallen lassen."
679;1;-66;leider bin ich im Moment krank, sodass ich mich nucgt konzentrieren kann, sorry
680;1;"demonstration; protest; graffitti";-66
681;1;-66;Weil einfach zuviel Unsinn entschieden wird!
682;1;-99;-66
683;1;-66;-66
685;1;-66;Es kommt auf die Situtation drauf an.
686;1;-66;wie z.B. Stutgard 21 die Politiker machen nach der Wahl was sie wollen.Ich finde das ein Volksentscheid immer im Vordergrund stehen muß.Das ist der Willen des Volkes und nicht der Profit .
687;1;Demonstration, Streik, Informationsveranstaltungen, Diskussionen, ;-66
688;1;-99;-66
689;1;-66;"Grundsätzlich bin ich für mehr ""Mitspracherecht"" und auch die Möglichkeit dies in geordnetem Rahmen kundzutun, wenn einem etwas nicht passt. Und das nicht nur zu Wahlen."
690;1;Streik, wenn es um die Durchsetzung von Forderungen gibt, ;-66
691;1;-66;Gesellschaft ohne regeln funktioniert nicht besonders dann nicht wenn sie nicht für alle gilt 
692;1;gegen verordnungen, erlässe, gesetze sein, die am bürger vorbei entschieden werden;-66
693;1;-66;-66
694;1;-66;Eigene Meinungseinbringung
695;1;damit die Politik nicht die Bodenhaftung verliert und merkt, dass sie nur Erfüllungsgehilfe des Vilkes ist;-66
696;1;-66;Weil man sich sonst nicht wehren kann gegen Dinge, die man eigentlich nicht möchte
697;1;"demonstration
widersprüche
klagen
";-66
698;1;-99;-66
699;1;-66;"s. ""Stuttgart 21"". der ""zivile Ungehorsam"" bringt jetzt im Ergebnis Verbeserungen bei einem nach wie vor nicht sinnvllen Projekt"
700;1;-66;-66
701;1;Demo, Klagen;-66
704;1;-66;-66
705;1;-66;Man muss die Möglichkeit von z.B. Demonstrationen haben, um der Regierung zu zeigen, dass man nicht zufrieden ist.
706;1;-66;jeder Bürger muß die Möglichkeit haben nicht mit allem einverstanden zu sein was Politiker einfach über seinen Kopf bestimmen und ggf.das recht haben dagegen zu protestieren und seine Meinung kund zu tun
707;1;demostrationen, sitzblockaden;-66
708;1;-99;-66
709;1;-66;ist einfach so
710;1;Demonstrationen, Sitzblockaden, Streik;-66
711;1;-66;Der Bürger sollte die Möglichkeit haben ungehorsam zu sein, aber nicht grenzenlos
712;1;"muß auch aml sein
";-66
713;1;-66;"Die Entscheidungen der Politiker werden immer stärker von der Wirtschaft bzw. Lobbyisten gefällt. Das Wohl der Bürger wird kaum noch berücksichtigt. Bestes Beispiel sind 5 Hartz4 Erhöhung aber 140 Mrd. Euro ""Stütze"" für die HRE"
714;1;Demo,Volksabstimmung;-66
715;1;-66;stuttgart 21 ist bodenlose frechheit. wenn ziviler ungehorsam nicht möglich wäre: wie könnten bürger sonst auf sich aufmerksam machen?
716;1;-66;Laut GG besteht bereits ein Passus, der dies zulässt. Inwieweit dies dann tatsächlich auch praktiziert wird, ist eine andere Frage. Zudem sind eine Reihe von Themen für Bürger gegenwärtig bedeutsamer als der zivile Ungehorsam.
718;1;Nichtbefolgung unsinniger Regeln und Anordnungen und Widerstand. Ziviler Ungehorsam wird in aller Regel jedoch geahndet oder bestraft (Demonstrationen, Proteste, Streiks, unangemessene Arbeiten).;-66
719;1;schwer zu defenieren;-66
721;1;-66;Unser GG erlaubt es (friedliche Versammlung etc)
722;1;-66;-66
723;1;-66;damit Politiker merken, dass sie nicht Entscheidungen gegen den Willen der Bürger treffen können siehe S21
724;1;-66;weil nicht alle bürger immer alle zusammenhänge kennen können und es dabei manchmal zu fehleinschätzungen kommen kann
725;1;keine beispiele parat;-66
726;1;Bei Behördenwillkür sollte der Bürger die Möglichkeit haben, sofort Gegenmaßnahmen zu ergreifen.;-66
727;1;-66;Da die direkte Teilnahme nur wenig gewährleistet ist
728;1;-66;-66
729;1;Sitzblockaden, Demos (Gorleben, Stuttgart), Bürgerbegehren;-66
730;1;-66;um ideen/kritik nachdruck zu verleihen
731;1;-66;weil die, von einer zwar demokratisch gewählten regierung, vorgeschlagenen gesetze und regeln nicht unbedingt auch legitim sein müssen, siehe auch thoreau
732;1;Aufstand gegen politische Entscheidungen;-66
733;1;-66;"Es ist so, dass dieses Recht oft missbraucht wird. So gibt es schon eine richtige Gemeinde von Breufsdemosnstranten, die nicht arbeiten, also nichts zur Gesellschaft beitragen, aber dafür dann von Morgens bis abends bei Stuttgart 21 rumhängen. 
Zweitens kann ein solcher Mob auch sehr gefährlich sein. Nähmlich dann, wenn er wie in Stuttgart die Polizei, für Ordnung sorgen muss  angreift. "
734;1;"Friedensprotest, Demonstration ( Bsp. Stuttgart 21 ) natürlich ohne Gewalt,
Martin Ltuher King, Gandhi als Menschenrechtskämpfer - Denn die Würde des Menschen
ist unantastbar. Proteste gegen Sozialkürzungen ( Sparpaket ), Zivilien Ungehorsams in der Drogenpolitik ( Beispiel: Legaliesierung von Cannabis bei Schwerkranken Menschen )
Datenschutzdesaster, Reisepass nach Fingerabdrücken ( Beispiel: Hacker trafen sich
in Berlin Chaos Computer Club)";-66
735;1;nicht ans gesetz halten;-66
736;1;-66;Möchte ich mich nicht äußern.
738;1;Streiks;-66
739;1;-66;Weil z.B. ein Bürgerbegehren in Jedenfall von den Regierenden abgeschmettert werden kann wenn diese es wollen und welches Mittel hat der Bürger dann noch?! Zudem ist der zivile Ungehorsam ein Grundrecht
741;1;-66;weil ein gesunder Faktor an Missbilligung gut ist aber auch zu viel an Ablehnung schaden kann
742;1;Stuttgart 21 - Demo am 30.09.2010;-66
743;1;"Geregelter Boykott von sinnlosen politischen Entscheidungen
Demo Stuttgart 21
Protest gegen Atomenergie
";-66
744;1;-66;kommt auf den einzelfall an
745;1;ich sag nur stuttgart21;-66
746;1;-66;Die Bürger müssen gerade bei diesem Thema eine Entscheidung haben.
748;1;-66;Weil alles andere als Anarchie endet. Der Bürger ist nicht autorisiert das complexe Leben zu beurteilen.
749;1;-66;-66
750;1;da ich mir nix drunter vorstellen kann, kann ich das nicht sagen;-66
752;1;Bürger haben Mitsprache;-66
753;1;-66;Bürger sollten immer die Möglichkeit haben ihre Meinung (auch durch zivilem Ungehorsam) Ausdruck zu verleien. Besonders wenn wir in einer Schein-Demokratie leben wie in Deutschland in dem das Interesse der Politiker nicht ihrem Volk gillt.
754;1;-66;-99
755;1;-99;-66
757;1;-66;man muß mit entscheiden können
758;1;-66;wenn viele erkennen, dass sie entscheidung falsch war, müssen sie das auch wirksam ausdrücken können/dürfen
760;1;-66;-
761;1;"das wie im Beispiel Stuttgarter Bahnhof, Menschen ihren Unmut über derartige Fehleinschätzungen äußern dürfen ohne das ihnen mit Staatsgewalt entgegen gekommen wird, das man nicht alle Abgaben immer hinnehmen muss, das man nicht aus Demokratie zu allen ""nett"" sein muss";-66
762;1;Darunter verstehe ich, dass Regierung Entscheidungen trifft die weitab von den tatsächlich Notwendigkeiten sind und nicht zum Wohle der Bürger. s. ALGII;-66
763;1;-66;-66
764;1;-66;"Ich kann mit dem wort ""zivilen ungehorsam"" nur wenig anfangen. Für was bekommen die politiker eigentlich ihre unangemessen hohen diäten. Wenn sie schon derart ungehorsam den bürger/steuerzahler in die armut treiben (harzIV), dann braucht sich bald keiner mehr zu wundern, das die zivile ungehorsamkeit mehr und mehr um sich greift."
765;1;-66;-66
766;1;ohne grundlegende Gesetze zu verletzen gegen unsinnige Gesetze anzugehen;-66
768;1;-66;weil manchmal unmögliche Entscheidungen getroffen werden, die an den Bedürfnissen der Bürger vorbeigehen
769;1;Menschen können Entscheidungen streiken bzw. demonstriern.;-66
770;1;-66;Zivilier Ungehorsam ist solange eine Option, solange es in Deutschland nicht flächendeckend die Möglichkeit zum Bürgerentscheid gibt. Und vor allem solange in Deutschland mehr auf Lobbys aller Art als auf die Bevölkerung gehört wird. 
771;1;"In friedlichen Demonstrationen meine konträre Meinung darzulegen; mit mit Hilfe der Pressefreiheit Gehör für eine Gegenmeinung zu verschaffen;";-66
772;1;nivhts;-66
773;1;-66;weil dies manchmal nur noch das einzige Mittel ist, um Einfluß zu nehmen, siehe hierzu Stuttgart 21.
774;1;-66;Die Politik hat sich im voraus auch um die Meinung der Bürger zu interessieren und nicht dass Recht nur ihre und die Interessen der Wirtschaft durchzusetzen.
775;1;Streik / Demos;-66
776;1;ohne Anwendung von Gewalt;-66
777;1;-66;Weil die Politiker oft den Willen der Menschen außer Acht lassen
779;1;-66;Die Regierung ist für die Bürger da und sollte mit den Bürgern und für die Bürger arbeiten
780;1;Demonstrationen, Sitzblockaden, Protestmärsche;-66
781;1;-66;So richtig kann ich mit der Aussage nichts anfangen
782;1;Vorschriften und Gesetze, die offensichtlich nur zum Wohl einiger Lobbyisten dienen, erachte ich als hinreichend 'mißachtungswürdig';-66
783;1;-66;sehr relevant
784;1;demonstration, boykott;-66
786;1;-66;3rweg
787;1;zb. Ghandi;-66
788;1;Demonstrationen;-66
789;1;streik, demos;-66
791;1;-66;Ich finde es gut, das man in Deutschland die Möglichkeit hat, zu demonstrieren wenn einem Entscheidungen nicht gefallen. Unabhängig von den Erfolgsaussichten hat man doch wenigstens die Möglichkeit, seinen Unmut kundzutun.
792;1;-66;die Politik ist weltfremd, sie lässt sich durch Lobbyissmus, Gier nach Reichtum und Ruhm beeinflussen. Nur der Ungehorsam kann einzelne Lobbyistische und Machtegoistische Entscheidungen kippen.
794;1;-66;mitsprache ist immer wichtig es kann nicht einseitige entscheidungen geben
795;1;"
demo";-66
796;1;nicht alles in frage stellen;-66
797;1;-66;Mit nicht allen Entscheidungen der Regierung kann man einverstanden sein. Da ist es  unabdingbar, seinen Protest zu Äußern. Ohne zivilen Ungehorsam hätte es die friedliche Revolution in der DDR nicht gegeben.
798;1;"Hierzu gehören in 1. Linie Streiks,Demonstrationen.
Bei der aktuellen politischen Elite und der zunehmenden Politikverdrossenheit in der Gesellschaft, scheinen auch andere Formen ihre Existenzberechtigung zu haben.";-66
799;1;-66;weil es oft keine andere Möglichichkeit gibt
800;1;"gegen den staat zu sein
";-66
801;1;-66;Regierungen machen Fehler
802;1;steuern nicht bezahlen oder nur unter vorbehalt zahlen, streikrecht;-66
803;1;-66;-66
804;1;"Demonstrationen mit Ausschreitungen; Fahnen verbrennen oder ähnl.";-66
805;1;mit zivilem Ungehorsam verbinde ich das zuwiderhandeln gegen Gesetze, um im Einzelfall jemanden oder etwas zu schützen;-66
806;1;-66;Man darf auch mal was in Frage stellen dürfen.
807;1;Demonstrationen;-66
808;1;-66;Die mehr und mehr abgehobenen Politiker müssen erfahren, daß sie es nicht mit Wahlvieh zu tun haben sondern mit dem Souverän.
809;1;Veto-Recht durch Volksabstimmung bei Ablehnung eines erlassenen Gesetzes o.ä.;-66
810;1;-66;Im Prinzip stimme ich voll und ganz zu, aber es gibt doch immer Randgruppen und Extremisten, die das ausnutzen, um Unruhe zu stiften.
812;1;streik, steuern nicht bezahlen;-66
813;1;-66;-66
814;1;-66;Gespräche denke ich sind besser
815;1;-99;-66
816;1;Wählen Voksnetscheit und Demonstrieren (Protestieren;-66
817;1;-66;Diese Frage habe ich intuitiv so eingeschätzt, daher kann ich sie nicht begründen.
818;1;stuttgart 21, protest gegen castor;-66
819;1;-66;-99
820;1;-66;Bürger sollten diese Handlungen (gewaltfrei) als Ausdruck und Mittel der Unzufriedenheit nutzen können und auf diese Weise auf Problematiken aufmerksam machen.
822;1;-66;-66
823;1;keine Ahnung;-66
824;1;-66;weil wir nach der Wahl nichts mehr wert sind
826;1;-66;"Es ist wichtig das die Meinungen der Bürger nicht einfach übergangen werden können vorallem wenn sich eine Grössere organisierte Gruppe zusammenfindet da dies die Wichtigkeit der Anliegen unterstreicht.

Leider gibt es allerdings auch immerwieder Entscheidungen die wichtig sind und so getrffen werden aber große gegenwehr finden, da das eigene Wohl näher ist als die Zukunft unbekannter Personen, daher stimme ich dieser Aussage nicht hundert prozentig zu"
827;1;-66;"5, weil- ein  vertrauen in die entscheidungskompetenz der entsprechenden behörden  und institutionen dasein sollte, da ja ""geewählt"", aber oft ist die se zur Zeit nicht genügend sichtbar.."
828;1;"sich dagegen stellen
freie Meinung zuhaben";-66
829;1;ziviler ungehorsam ist nicht das beste, da der weg für krawallmacher frei wird;-66
830;1;-66;ich weiß nicht, ob Ungehorsamkeit hier angebracht ist
831;1;-66;"es ist schon wichtig das auf die Meinung der Bürger geachtet wird
manchmal hat man das Gefühl die Politiker haben die Realität verloren"
833;1;da sie demonstrieren gehen , nicht von den Obersten angegriffen werden und auch ein Mitspracherecht zu Entscheidungen haben müssen ohne von der Polizei angeriffen zu werden;-66
834;1;Streik, Demonstrationen, Bürgerinitiativen bei politischen Entscheidungen, die dem Wähler nicht gefallen;-66
835;1;-66;-99
836;1;Streiks, Demonstrationen, Meinungsfreiheit (Flugblätter, Veröffentlichungen);-66
837;1;-66;"Jegliche Form im Rahmen der Rechte und Gesetze auch sein Missfallen ausdrücken zu können ist wichtig. Dies endet jedoch bei unverhältnismäßigem Einsatz bei Dauer, Art und Intensität des ""Ungehorsams"". Verhältnismäßigkeit ist von allen Seiten zu achten"
838;1;-66;Unter Umständen würde, ohne die Möglichkeit des zivilen Ungehorsams, den Politikern in entscheidenen Frage ein falsches Bild über die öffentliche Meinung impliziert. In manchen Dingen muss man einfach zivilen Ungehorsam leisten, sonst würde die Wichtigkeit nicht klar genung dargestellt. 
839;1;-66;-66
841;1;-66;es gibt eine gewählte Volksvertretung. Wenn wegen jedem Mist gestreikt, protestiert, ... wird dann wird gar nichts mehr entschieden
842;1;-66;-66
843;1;Dinge unterlassen, die der Staat verlangt, wenn man sie als unsinnig erachtet;-66
844;1;-66;Um auf Probleme aufmerksam zu machen und sich vor Konsequenzen zu schützen, die ein Halndeln entgegen seiner Überzeugung haben würde, ist ziviler Ungehorsam für mich ein durchaus anwendbaren Mittel.
846;1;-66;weil man Entscheidungen, die man widersinnig findet, in Frage stellen sollte
847;1;dies ist ein maßregeldes wort von vornherein, aber bürger sollten sich nicht alles bieten lassen, denn viele politiker tun nichts, sie halten nur an ihrem job fest, damit das gehalt jeden monat kommt und später die pension.Dies ist für einen mündigen bürger sehr erniedrigend, zumal in manchen positionen nur unfähige politiker sitzen;-66
848;1;-66;-66
849;1;Demonstration, Verweigerung, passiver Widerstand;-66
850;1;-99;-66
851;1;-66;nicht alle entscheidungen müssen mitgetragen haben, eine friedlich auflehnung kann zum umdenken anspornen
853;1;Das man von der Regierung gehört und erstgenommen wird;-66
854;1;-66;Die bürger können damit ausdrücken, dass sie nicht zustimmen.
855;1;-66;basisdemokratie ist einerseits ein wiichtiges instrument, sie darf aber nicht dazu führen, dass politische handlungsfähigkeit eingeschränkt wird
856;1;Man sollte nicht alle Entscheidungen der Regierung so hinnehmen, wenn sie ungerecht sind und das Volk möglicherweise anders denkend ist.;-66
857;1;-66;"Weil unsere Politiker auch Fehler machen - aus welchen Gründen auch immer. 
Und weil wir Bürger einfach keine blinden, dummen Maschinen sind, sondern denkende und fühlende Wesen. Und als solche haben wir das Recht, oder möchten das Recht zu haben, auch mit Ungehorsam unsere Meinung über die Entscheidung eines Politikers kundzutun. 
Natürlich nur in Fällen in denen es angemessen ist: Beispielsweise wenn ein Bürgerentscheid einfach übergangen wurde, aus Prestigegründen. "
858;1;-66;-66
859;1;-99;-66
860;1;gegen bestehende Institutionen oder entschiedungen demonstrierne;-66
861;1;-66;-66
862;1;-66;ka
863;1;"Demonstrationen, Streiks. Einspruch gegen Bescheide, die unklar sind
Klage vor dem Bundesverfassungsgericht ";-66
864;1;-66;-99
865;1;-66;man muss den regierenden seine meinung zu den dingen kundtun können
866;1;gewaltsame demos;-66
867;1;-66;k.A.
868;1;weiß nicht;-66
869;1;"einmal gewählte volksvertreter vergessen manchmal, dass sie für das volk da sein sollten.
sie sind abgehoben, der alte Fritz fühlte sich als erster Diener seines Volkes und das war ein gute Einstellung";-66
870;1;-66;Wichtig finde ich es schon, aber die Umsetzung dürfte sowieso schwierig, wenn nicht gar unmöglich sein.
871;1;-66;-66
872;1;-66;"Damit die arbeitende Bevölkerung nicht noch mehr abgezockt wird und Kosten tragen muß die sie nicht verursacht, sondern sich dagegen wehren kann.
Was bleibt mir von meinem Gehalt für mich? Bald gar nichts mehr.
Für meine Gesundheit zahle ich schon lange selbst, nicht arbeitende erhalten Leistungen für die sie nichts tun müssen, ich erhalte keine, weil ich ja Arbeit habe. Mein Mann erhält kein ALG II, weil ich Arbeit habe. Ich muß privat für meine Rente sparen, weil ich Arbeit habe und die Kassen sind leer weil Gelder entnommen werden für Menschen die nie etwas eingezahlt haben. Und ich muß zahlen, zahlen, zahlen  weil ich Arbeit habe und die Regierung es so festlegt - warum wird nicht die Regierung verpflichtet ihre Diäten zu senken und das so gesparte Geld in die Wirtschaft zu stecken?"
873;1;Streik;-66
874;1;egal;-66
875;1;-66;Bin hier unentschlossen, deshalb die goldene Mitte. Ziviler Ungehorsam kann schnell ausarten, wie man in letzter Zeit häufig gesehen hat. Andererseits darf und soll man sich auch nicht alles gefallen lassen.
876;1;rechtsbrechung(sprich eigene verantwortung nicht annehmen,das heisst die vergangenheit unserer  eltern (NPD) sie meint das wir alle unter einen hut kehren müssen.;-66
877;1;-66;"wenn ziviler ungehorsam in friedlicher form stattfindet ,haben die bürger ein anrecht darauf
jedoch kommt es sehr oft vor das dies sehr leicht in gewalt umschlägt"
878;1;-66;-66
879;1;--;-66
880;1;-;-66
881;1;boykott staatlicher Maßnahmen z. B. durch Verweigerung;-66
882;1;-66;-
883;1;Stuttgarter Hbf, Castor-Transport, Kraftstoffpreise;-66
884;1;-66;ist halt so^^
885;1;-66;-66
886;1;-66;-66
887;1;Das Vertreten einer eigenen Meinung, die nicht regierungskonform ist z. B. Stuttgart 21;-66
888;1;-66;-66
889;1;-66;bürger können nur eine Partei wählen, die einzelnen Entscheidungen könnendie bürger nicht wählen
890;1;Bürger können an Demotrationen teilnehmen.Es darf aber keine Gewalt angewendet werden.;-66
891;1;-66;"solang sie friedlich ist, sollte jeder seine meinung dazu äußern. siehe S21. aber bitte friedlich!!!!! denn es werden wie im fall S21 an ""sachen"" festgehallten die vor 15 - 20 jahren getroffen worden sind und die kassen zu diesem zeitpunkunkt noch ok waren. und heute ist das nicht mehr der fall. "
892;1;???;-66
893;1;-66;Beteiligung über Wahl der Volksvertreter finde ich ausreichend. Ziviler Ungehorsamkeit resultiert oft aus Stammtischparolen
894;1;weiß ich nicht;-66
896;1;-66;Gerade als Lehre aus der Geschichte Deutschlands ist dies eines der wichtigsten demokratischen Grundrechte
897;1;Verweigerung staatlicher Vorgaben, die zu persöhnlicher Gefährdung oder zum Schaden der Gesellschaft führen;-66
